variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
363,1872,2164,1088,961,437,193,83,81
364,454,902,546,674,382,237,68,98
365,831,1053,700,612,383,188,76,49
366,1261,1918,1079,993,530,217,90,66
367,996,1270,638,530,315,119,58,40
368,1306,1856,948,889,446,267,83,101
369,984,1360,759,816,425,205,65,71
370,749,1098,852,837,443,311,124,89
371,730,1188,698,852,670,274,107,106
372,768,1269,704,651,264,98,36,30
373,1299,1812,883,935,315,124,42,22
374,823,1178,871,887,596,356,191,196
375,1225,1607,815,580,257,84,12,45
376,759,1129,645,651,345,142,72,30
377,946,1486,689,668,306,132,55,52
378,1702,2384,1299,1274,525,146,60,36
379,1121,1517,545,495,244,82,49,16
380,1313,2345,756,593,282,98,23,19
381,1976,3368,1338,1069,376,99,21,19
382,910,1474,602,526,233,85,26,17
383,1571,2380,1184,1007,576,237,95,43
384,1171,1684,679,492,173,35,32,3
385,1185,2016,512,335,158,45,23,14
386,1888,2133,874,691,293,161,59,24
387,1353,1465,491,418,241,92,51,19
388,1044,1933,575,567,171,39,5,3
389,1485,2334,1139,1071,432,145,41,27
390,1609,1858,736,575,160,41,16,7
391,1623,2311,1081,989,373,113,18,16
392,1218,1684,705,611,271,143,59,26
393,1026,1610,827,822,419,209,66,37
394,1131,1592,920,985,549,258,73,67
395,614,1282,807,730,331,115,30,24
396,1333,1449,633,508,258,153,38,44
397,1327,1328,641,495,314,134,75,59
398,1185,1704,740,787,249,36,20,13
399,2059,2243,988,919,441,222,89,90
400,2488,1942,491,353,144,31,27,21
401,2693,2125,569,379,152,15,3,0
402,3456,2891,1043,639,260,62,19,10
403,1235,1428,687,641,360,190,71,42
404,1351,1795,747,594,241,94,24,45
405,1845,1951,681,462,207,85,30,26
406,1617,2298,947,731,252,109,36,24
407,1586,1805,707,522,179,71,21,16
408,1038,1799,905,856,315,91,23,19
409,631,1489,688,812,346,151,35,20
410,820,1682,846,898,381,130,42,38
411,707,1299,726,742,470,167,59,39
412,1422,1943,548,462,161,64,22,8
413,1647,2048,734,591,274,102,47,20
414,1166,1797,451,418,215,82,17,32
415,751,1501,711,678,323,86,50,41
416,1624,1896,627,449,182,58,20,5
417,1640,1769,575,431,192,47,26,10
418,948,1452,718,636,345,147,44,14
419,1087,1301,726,592,349,144,55,54
420,632,1660,786,827,356,119,36,34
421,1518,2131,1030,910,427,135,49,23
422,739,1433,639,770,314,87,19,3
423,1889,2335,1188,1077,468,117,51,12
424,1275,1544,995,801,342,78,30,32
425,1517,1349,874,711,380,131,51,48
426,1517,2261,1118,995,412,107,30,35
427,1591,2118,1065,765,308,64,24,15
428,1251,1439,769,439,270,59,28,11
429,1745,1234,686,562,252,128,37,21
430,1842,2188,1011,1010,271,85,33,9
431,1280,1632,763,527,218,78,14,10
432,1445,1409,682,548,211,70,26,10
433,1393,1677,724,671,234,45,9,7
434,2078,2815,1092,943,366,80,28,9
435,1928,2569,1082,723,281,85,19,6
436,1146,1885,791,712,248,83,19,14
437,1399,1112,678,524,202,113,41,21
438,1795,1945,737,534,225,66,19,7
439,1475,1541,778,575,207,58,22,5
440,1380,1691,787,535,243,60,27,5
441,1918,1343,734,477,256,138,35,14
442,1220,1647,675,571,198,80,14,8
443,1374,2043,852,658,274,112,23,22
444,1731,1894,839,616,226,80,27,5
445,1426,2253,856,724,227,49,11,17
446,1153,1704,703,609,213,81,21,9
447,1679,1273,646,396,155,76,23,8
448,1526,2153,923,786,280,81,22,9
449,1567,1845,863,644,234,84,48,13
450,1080,1871,901,867,342,106,30,39
451,1688,2348,1085,869,374,128,36,50
452,2345,4085,1177,853,442,147,86,30
453,1960,1556,510,429,159,40,6,2
454,1783,1361,628,484,232,93,44,48
455,1946,1505,668,431,178,56,10,14
456,2496,1664,884,594,223,115,38,57
457,4408,2805,574,262,99,49,6,7
458,2398,1810,703,437,149,45,2,9
459,1263,1509,665,500,187,87,27,2
460,3286,4347,1769,1183,578,198,71,40
461,2280,3179,1070,663,299,123,25,24
462,1721,2317,660,431,153,33,15,10
463,1715,1788,819,426,218,68,20,13
464,1378,1950,726,549,194,110,40,11
465,834,1624,1000,1036,428,119,43,22
466,1660,1606,653,540,185,63,14,22
467,1532,1474,629,397,178,73,37,23
468,2129,2073,595,344,167,53,21,18
469,2539,2291,894,661,343,142,39,37
470,1879,2201,1151,830,347,126,36,15
471,1136,979,543,497,187,154,17,45
472,2283,2055,725,531,211,98,42,47
473,1271,1347,621,481,199,79,31,9
474,888,1502,888,702,307,83,8,5
475,431,1211,933,1016,385,112,34,4
476,1102,1712,912,726,276,109,22,23
477,1375,1394,766,580,245,114,25,13
478,1234,1310,854,469,295,129,28,22
479,2245,3911,797,453,166,71,26,15
480,2060,2968,621,432,188,79,11,5
481,1461,2600,1333,1103,595,221,96,21
482,1504,2463,511,415,185,42,4,9
483,1429,2219,473,328,189,88,30,9
484,810,1905,579,525,309,175,56,29
485,2024,2489,1052,646,338,129,55,18
486,1606,2466,662,475,269,138,50,30
487,1040,1624,869,599,354,117,29,45
488,1641,1284,634,413,249,86,48,24
489,1334,1446,783,473,191,80,22,11
490,1441,2076,874,631,229,82,24,4
491,2092,1997,833,664,227,62,15,13
492,1437,1873,799,574,206,58,20,12
493,1963,2098,1027,685,344,112,39,23
494,1338,1921,695,436,168,48,25,4
495,2516,2828,956,622,288,106,36,17
496,1069,2079,630,406,220,46,20,19
497,2025,3186,1044,733,340,124,51,30
498,2088,1745,943,624,318,134,37,37
499,3086,2500,1012,784,219,49,22,6
500,1412,1943,1193,874,342,105,18,24
501,1856,2248,1117,815,268,107,37,13
502,1889,1880,1086,775,367,132,36,11
503,1110,1622,736,542,354,123,67,26
504,1916,2625,1341,1008,402,178,46,36
505,1802,3047,1311,1242,584,166,90,66
506,1889,2725,577,405,175,53,29,4
507,2030,2589,1032,722,281,127,41,18
